ID,elat,elon
109535,-12.62,40.6
109538,-16.9,49.74
109539,-27.74,55.39
109540,-22.68,60.01
109541,-19.93,57.74
109543,-26.5,98.96
109544,6.66,73.14
109545,-28.59,113.01
109546,9.96,87.86
109547,-40.38,41.59
109549,-10.79,40.89
109550,-5.68,43.91
109551,5.25,48.49
109554,-57.07,202.27
109558,-26.73,330.75
109559,-33.91,77.88
109560,-27.18,322.7
109561,-27.2,102.31
109562,-49.23,20.01
109563,-25.19,94.95
109564,50.62,221.2
109565,53.83,221.78
109568,-27.9,103.59
109569,-23.56,96.17
109571,12.53,124.24
109578,20.25,121.89
109581,1.62,54.84
109582,-12.44,46.53
109583,0.72,43.56
109586,-0.8,42.28
109587,-11.28,40.72
109588,2.21,45.67
109599,23.3,165.32
109601,9.25,127.25
109602,23.7,128.94
109603,29.14,241.65
109604,12.54,123.99
109605,8.86,126.98
109606,12.66,125.48
109607,9.44,126.56
109608,33.71,134.76
109609,15.9,123.87
109610,12.39,125.82
109611,25.9,184.59
109612,12.68,109.64
109613,3.09,103.46
109614,11.12,126.1
109626,-41.84,27.64
109630,-45.22,26.87
109631,-20.0,201.91
109636,-29.24,99.43
11020180,53.38,349.95
11023190,4.32,352.72
11024600,-39.1,152.29
11025040,-37.16,168.91
11025600,57.02,321.39
11025610,77.4,10.57
11026600,70.99,25.29
11026610,68.24,330.64
11027150,56.97,352.17
11027600,61.6,319.87
110279,28.78,323.12
11028750,65.2,346.33
11029600,66.05,344.99
11041330,33.85,10.16
11041340,31.86,16.65
11043350,32.17,19.38
11044320,34.01,31.1
11047320,34.12,14.4
11047330,31.36,18.3
11048330,31.7,17.8
11086,2.21,78.59
11088,12.37,93.04
11089,14.18,50.52
11090220,-1.47,97.41
11091380,-22.72,86.73
11091800,14.83,298.65
11093800,48.83,356.6
11162640,54.63,351.22
11245370,57.32,300.21
11248370,51.46,350.14
112520,22.98,276.69
112522,29.1,264.9
112523,29.03,269.09
112524,22.99,279.88
11270030,-11.06,93.94
11270040,-34.23,84.38
11271030,-33.38,110.75
11273030,-32.3,126.06
11273040,-20.63,108.36
11274030,-44.93,216.05
11277030,-30.89,110.05
11278030,-10.73,114.69
11279030,-29.28,105.62
11315,-43.0,323.33
11350,11.97,98.04
11354,6.88,81.95
11355,11.67,90.22
11356,9.48,97.96
11357,14.27,88.96
113647,-41.55,286.14
113648,-36.59,174.15
113649,-45.94,166.4
113732,-8.8,41.15
113733,-12.26,61.73
113734,-29.02,56.37
113735,2.03,77.07
113955,14.64,342.55
113956,17.42,343.31
113958,35.94,290.54
113960,14.17,341.15
113961,14.99,342.81
113962,17.4,323.1
113963,30.48,294.06
113964,20.07,311.79
113967,17.1,282.19
113968,17.66,335.58
113969,12.77,342.78
113970,15.08,342.95
113971,12.85,343.09
113972,29.19,319.78
113974,23.77,297.72
113976,25.39,318.68
113977,14.86,340.15
113978,17.33,275.28
113979,16.21,343.41
113980,14.67,342.48
113981,14.64,342.32
113982,12.93,343.07
113984,15.12,342.83
114383,-50.63,136.29
114384,-69.06,248.02
114385,-59.1,335.81
114532,-51.15,284.97
114533,-46.01,318.28
114534,-39.82,238.77
114535,-39.9,285.34
114536,-49.52,16.02
114537,53.06,190.2
114538,41.89,194.54
114539,-53.12,285.55
114540,-55.7,291.9
114541,-41.23,232.15
114543,8.95,78.79
114544,28.07,218.34
114545,27.57,210.35
114546,26.02,191.01
114547,25.47,207.74
114548,30.14,217.93
114549,26.88,219.62
114550,31.49,331.54
114551,28.95,219.98
114552,-4.18,68.19
114553,15.88,67.55
114554,-5.54,83.21
114556,6.2,79.5
114558,25.38,283.52
114559,23.91,58.27
114560,0.54,96.65
114561,-3.75,100.41
114562,23.25,146.81
114563,-13.08,79.45
114564,18.58,140.22
114565,30.68,243.96
114566,33.28,240.5
114567,-4.82,81.8
114569,12.02,235.1
114570,20.1,236.4
114571,1.15,44.11
114572,26.31,245.52
114573,51.93,183.18
114574,-4.14,101.67
114575,12.96,73.45
114576,54.69,164.72
114577,45.9,155.37
114578,7.1,100.67
114579,-0.87,42.18
114581,42.01,143.31
114582,45.59,173.56
114583,15.8,229.89
114588,-48.37,231.15
114589,-21.26,250.0
114590,-41.75,82.83
114591,53.35,192.72
114592,-48.3,5.24
114593,-38.53,40.98
114594,-34.38,351.1
114595,57.92,210.31
114596,-17.26,71.47
114597,-30.08,356.64
114598,-34.25,351.3
114599,41.09,346.12
114600,-47.06,351.77
114601,-39.63,12.46
114603,23.88,153.55
114604,30.45,196.09
114605,31.19,198.01
114606,18.27,122.35
11460700,62.34,353.76
114608,18.5,122.27
114609,9.77,126.18
114610,30.79,130.22
114611,19.28,106.37
114612,10.72,126.18
114613,26.77,174.65
114614,20.85,124.79
114615,36.56,160.9
114616,9.71,126.87
114617,14.36,127.96
114618,26.14,126.75
114619,33.09,139.78
114620,30.03,130.0
114621,4.83,126.32
114622,54.71,225.05
114623,27.19,306.87
